epoch,best_score_thr,best_area_thr,best_metric,valid_loss
0,0.5,500,0.9304307554219221,0.9267405883685964
1,0.4,500,0.9587527722925752,0.9581570423938132
2,0.4,500,0.962098968190116,0.9618679784439704
3,0.2,500,0.9636876703919592,0.9636223767254803
4,0.5,500,0.9618810068916628,0.9570601018699441
5,0.4,500,0.9645169264561421,0.9644826384815012
6,0.5,500,0.965695779065828,0.9640154411663879
7,0.3,500,0.9633211147140812,0.9633211147140812
8,0.5,500,0.96185518277658,0.9599267397377942
9,0.5,500,0.96451113111264,0.9639373816348412
10,0.5,500,0.9625060437498866,0.9596547717983658
11,0.5,500,0.9652735051271076,0.9633893773362444
12,0.5,500,0.9588367020761644,0.9555650417869156
13,0.5,500,0.9643385055902842,0.963547478656511
